Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C8",0805,4,0.1uF,C28233
C4,0805,1,1uF,C28323
"C5, C7",0805,2,10uF, C440198 
D1,D_SOD-123,1,1N4148W,C81598
D2,0805,1,LED,C401117
J99,PinHeader_1x4_P2.54mm_Drill1.02mm,1,0022232041,0022232041
"JP2, JP3",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,SolderJumper_2_Open,
R10,0805,1,68, C17784 
"R12, R14",0805,2,10K, C17414 
"R2, R3, R7",0805,3,220, C17557 
R8,0805,1,470,C17710 
U2,SOT-753,1,SN74LVC1G07DBVR,C7829
U3,IC_H11L1SM,1,H11L1M,C78589
U4,SOT-89-3,1,LM1117-3.3, C5120796
U5,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
