Designator,Mid X,Mid Y,Rotation,Layer
C1,70.828,37.4175,90.0,top
C2,59.73546,37.78,90.0,top
C4,71.1405,14.08,0.0,top
C5,72.33546,5.78,0.0,top
C6,72.37296,1.38,0.0,top
C7,72.37296,3.68,0.0,top
C8,68.43546,5.78,0.0,top
D1,49.868,41.78,0.0,top
D2,83.53546,39.705,270.0,top
J0,80.305,-7.67,90.0,bottom
J31,84.428,32.18,0.0,top
J32,15.228,32.18,0.0,top
J40,53.03546,50.38,180.0,top
J70,20.44546,46.25,270.0,top
J81,75.878,58.54,180.0,bottom
J82,53.178,58.54,180.0,bottom
J90,75.43546,50.48,180.0,top
J96,47.13546,-9.8,90.0,top
J99,57.61546,4.78,180.0,top
R10,85.93546,39.78,270.0,top
R12,70.03546,-6.42,90.0,top
R14,70.33546,-0.72,0.0,top
R2,72.73546,39.58,270.0,top
R3,75.13546,39.48,270.0,top
R7,44.23546,36.78,270.0,top
R8,61.93546,37.78,270.0,top
U1,32.01546,20.01,270.0,top
U2,73.728,35.33,0.0,top
U3,49.69148,37.6688,0.0,top
U4,71.428,9.98,270.0,top
U5,58.58546,-5.57,180.0,top
